<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.22	01:00:00	3685.51	3688.03	3683.69	3687.90	1113	0	5
2025.09.22	01:15:00	3687.93	3692.36	3685.96	3691.28	880	0	5
2025.09.22	01:30:00	3690.39	3691.20	3688.87	3690.57	746	0	14
2025.09.22	01:45:00	3690.66	3691.07	3687.58	3688.34	674	0	14
2025.09.22	02:00:00	3688.29	3689.32	3686.51	3686.99	703	0	13
2025.09.22	02:15:00	3686.99	3690.62	3686.57	3689.50	638	0	5
2025.09.22	02:30:00	3689.48	3689.73	3686.44	3686.44	785	0	14
2025.09.22	02:45:00	3686.46	3688.01	3685.79	3686.18	883	0	15
2025.09.22	03:00:00	3685.91	3690.80	3685.72	3690.52	1160	0	12
2025.09.22	03:15:00	3690.60	3690.75	3687.74	3689.55	990	0	14
2025.09.22	03:30:00	3689.56	3690.66	3688.86	3689.46	848	0	13
2025.09.22	03:45:00	3689.48	3690.95	3687.55	3690.62	910	0	5
2025.09.22	04:00:00	3690.70	3695.44	3687.12	3694.66	1527	0	5
2025.09.22	04:15:00	3694.69	3696.90	3689.75	3690.09	1372	0	14
2025.09.22	04:30:00	3689.64	3693.34	3687.88	3688.36	1309	0	10
2025.09.22	04:45:00	3688.54	3690.47	3686.67	3689.31	1276	0	10
2025.09.22	05:00:00	3689.23	3691.39	3687.33	3688.56	1169	0	14
2025.09.22	05:15:00	3688.49	3691.51	3687.88	3691.43	873	0	14
2025.09.22	05:30:00	3691.68	3693.24	3686.35	3686.84	1214	0	5
2025.09.22	05:45:00	3687.07	3688.86	3685.54	3686.36	1083	0	11
2025.09.22	06:00:00	3686.39	3690.45	3686.01	3690.05	1073	0	10
2025.09.22	06:15:00	3690.09	3692.23	3688.89	3691.53	1149	0	5
2025.09.22	06:30:00	3691.44	3695.24	3691.06	3695.03	1046	0	5
2025.09.22	06:45:00	3695.05	3697.47	3694.69	3695.39	996	0	14
2025.09.22	07:00:00	3695.46	3695.91	3691.67	3692.32	926	0	14
2025.09.22	07:15:00	3692.36	3692.47	3690.76	3691.26	787	0	6
2025.09.22	07:30:00	3691.40	3692.29	3690.10	3691.38	769	0	15
2025.09.22	07:45:00	3691.27	3692.58	3691.13	3692.20	701	0	10
2025.09.22	08:00:00	3692.19	3694.18	3691.93	3693.82	734	0	14
2025.09.22	08:15:00	3693.82	3697.85	3693.82	3696.32	958	0	5
2025.09.22	08:30:00	3696.23	3699.39	3696.05	3698.38	1155	0	14
2025.09.22	08:45:00	3698.40	3700.35	3696.44	3697.04	1069	0	12
2025.09.22	09:00:00	3697.00	3700.84	3695.47	3700.60	1208	0	14
2025.09.22	09:15:00	3700.45	3706.57	3700.08	3706.31	1236	0	5
2025.09.22	09:30:00	3706.24	3717.29	3704.97	3717.08	1429	0	5
2025.09.22	09:45:00	3716.96	3719.78	3713.05	3714.30	1415	0	5
2025.09.22	10:00:00	3714.39	3714.95	3709.69	3711.41	1290	0	7
2025.09.22	10:15:00	3711.42	3713.81	3708.73	3713.49	1340	0	5
2025.09.22	10:30:00	3713.55	3716.25	3712.44	3714.04	1197	0	5
2025.09.22	10:45:00	3714.07	3715.10	3712.82	3713.23	1013	0	5
2025.09.22	11:00:00	3712.84	3719.76	3712.18	3717.29	1212	0	5
2025.09.22	11:15:00	3717.32	3719.98	3716.23	3717.73	1094	0	5
2025.09.22	11:30:00	3717.70	3722.49	3717.66	3722.13	1077	0	5
2025.09.22	11:45:00	3722.06	3722.68	3719.59	3720.43	1111	0	5
2025.09.22	12:00:00	3720.46	3721.75	3719.30	3720.45	1023	0	7
2025.09.22	12:15:00	3720.47	3726.32	3720.26	3725.31	1162	0	5
2025.09.22	12:30:00	3725.32	3725.64	3720.53	3721.03	1137	0	5
2025.09.22	12:45:00	3721.08	3724.96	3720.83	3723.27	1066	0	5
2025.09.22	13:00:00	3723.18	3724.16	3721.12	3723.24	1091	0	14
2025.09.22	13:15:00	3723.15	3727.19	3723.09	3725.15	1097	0	6
2025.09.22	13:30:00	3725.17	3726.58	3723.37	3726.00	1026	0	5
2025.09.22	13:45:00	3726.02	3728.25	3725.91	3727.43	1033	0	5
2025.09.22	14:00:00	3727.44	3727.91	3725.70	3727.28	1009	0	10
2025.09.22	14:15:00	3727.28	3728.24	3725.67	3726.48	987	0	5
2025.09.22	14:30:00	3726.73	3727.24	3721.38	3721.79	1097	0	8
2025.09.22	14:45:00	3721.87	3724.68	3721.22	3724.60	1237	0	5
2025.09.22	15:00:00	3724.69	3725.54	3720.86	3720.87	1210	0	5
2025.09.22	15:15:00	3721.24	3722.69	3712.03	3715.26	1401	0	5
2025.09.22	15:30:00	3715.33	3718.83	3713.41	3715.13	1394	0	5
2025.09.22	15:45:00	3715.19	3722.98	3715.19	3721.62	1340	0	7
2025.09.22	16:00:00	3721.68	3725.16	3719.41	3722.49	1433	0	5
2025.09.22	16:15:00	3722.48	3725.62	3720.58	3722.47	1022	0	14
2025.09.22	16:45:00	3721.26	3722.37	3721.11	3722.37	76	0	5
2025.09.22	17:00:00	3722.26	3723.29	3716.86	3720.14	1508	0	5
2025.09.22	17:15:00	3720.20	3722.02	3717.14	3721.47	1479	0	5
2025.09.22	17:30:00	3721.52	3721.84	3716.86	3719.17	1418	0	5
2025.09.22	17:45:00	3719.26	3726.28	3719.19	3725.79	1377	0	6
2025.09.22	18:00:00	3725.92	3727.66	3723.49	3725.31	1372	0	5
2025.09.22	18:15:00	3725.23	3731.99	3724.46	3731.39	1334	0	5
2025.09.22	18:30:00	3731.40	3732.97	3730.56	3732.15	869	0	5
2025.09.22	18:45:00	3734.56	3736.45	3734.30	3736.19	1032	0	5
2025.09.22	19:00:00	3736.16	3739.06	3735.19	3735.52	1258	0	7
2025.09.22	19:15:00	3735.52	3738.30	3735.49	3736.75	1151	0	6
2025.09.22	19:30:00	3736.81	3739.60	3736.72	3739.48	1109	0	5
2025.09.22	19:45:00	3739.44	3739.56	3736.49	3737.14	1129	0	5
2025.09.22	20:00:00	3737.28	3741.19	3737.24	3740.03	1098	0	5
2025.09.22	20:15:00	3740.07	3741.64	3738.63	3740.06	1101	0	5
2025.09.22	20:30:00	3740.57	3746.12	3740.45	3745.85	1175	0	5
2025.09.22	20:45:00	3745.78	3747.20	3744.96	3746.68	1112	0	5
2025.09.22	21:00:00	3746.63	3747.14	3745.50	3745.86	1029	0	12
2025.09.22	21:15:00	3745.90	3747.67	3745.03	3745.96	944	0	6
2025.09.22	21:30:00	3746.03	3746.67	3744.67	3745.38	925	0	5
2025.09.22	21:45:00	3745.47	3748.03	3745.35	3747.61	929	0	6
2025.09.22	22:00:00	3747.61	3748.74	3747.32	3747.60	1030	0	5
2025.09.22	22:15:00	3747.62	3748.22	3743.47	3743.85	1008	0	7
2025.09.22	22:30:00	3743.89	3747.03	3742.48	3745.65	1094	0	5
2025.09.22	22:45:00	3745.68	3748.41	3745.35	3747.78	1147	0	7
2025.09.22	23:00:00	3747.65	3748.29	3745.79	3745.82	687	0	5
2025.09.22	23:15:00	3745.84	3747.89	3745.60	3747.68	477	0	14
2025.09.22	23:30:00	3747.67	3748.58	3747.04	3747.85	597	0	15
2025.09.22	23:45:00	3747.90	3748.48	3745.72	3746.63	599	0	14
2025.09.23	01:00:00	3745.27	3747.66	3744.72	3744.92	548	0	14
2025.09.23	01:15:00	3744.91	3746.03	3743.26	3743.29	481	0	14
2025.09.23	01:30:00	3743.26	3745.27	3740.96	3741.58	557	0	5
2025.09.23	01:45:00	3741.61	3741.88	3738.29	3740.05	745	0	15
2025.09.23	02:00:00	3740.08	3742.45	3739.05	3742.45	770	0	14
2025.09.23	02:15:00	3742.43	3748.97	3742.27	3746.72	949	0	14
2025.09.23	02:30:00	3746.64	3748.10	3745.77	3747.22	678	0	14
2025.09.23	02:45:00	3747.23	3749.20	3746.59	3747.81	810	0	14
2025.09.23	03:00:00	3747.93	3748.93	3746.58	3746.92	849	0	14
2025.09.23	03:15:00	3746.92	3749.06	3744.90	3748.91	838	0	14
2025.09.23	03:30:00	3748.90	3749.47	3746.98	3749.24	903	0	14
2025.09.23	03:45:00	3749.25	3751.42	3746.31	3747.25	1037	0	5
2025.09.23	04:00:00	3747.21	3755.68	3745.78	3754.71	1277	0	14
2025.09.23	04:15:00	3754.69	3757.95	3747.85	3749.94	1249	0	13
2025.09.23	04:30:00	3749.90	3758.56	3747.84	3757.06	1196	0	8
2025.09.23	04:45:00	3757.07	3759.35	3753.41	3754.52	1187	0	13
2025.09.23	05:00:00	3754.57	3755.41	3741.07	3743.57	1238	0	14
2025.09.23	05:15:00	3744.02	3745.33	3741.21	3742.79	1177	0	14
2025.09.23	05:30:00	3742.77	3744.51	3740.08	3742.44	1154	0	8
2025.09.23	05:45:00	3742.34	3743.93	3737.02	3741.57	1213	0	10
2025.09.23	06:00:00	3741.55	3742.13	3739.03	3739.18	1084	0	14
2025.09.23	06:15:00	3739.30	3744.44	3739.14	3742.87	1061	0	6
2025.09.23	06:30:00	3742.87	3744.28	3741.88	3744.01	950	0	5
2025.09.23	06:45:00	3744.01	3747.15	3743.94	3746.46	936	0	5
2025.09.23	07:00:00	3746.47	3747.48	3743.75	3745.27	813	0	9
2025.09.23	07:15:00	3745.25	3746.52	3743.14	3745.97	833	0	8
2025.09.23	07:30:00	3745.96	3747.52	3744.48	3746.93	761	0	14
2025.09.23	07:45:00	3747.02	3747.02	3743.53	3744.78	819	0	8
2025.09.23	08:00:00	3744.57	3747.25	3743.18	3746.39	851	0	9
2025.09.23	08:15:00	3746.33	3750.18	3746.27	3750.18	893	0	7
2025.09.23	08:30:00	3749.90	3757.21	3749.49	3757.09	1194	0	6
2025.09.23	08:45:00	3757.11	3758.72	3753.13	3753.18	1167	0	5
2025.09.23	09:00:00	3753.19	3755.65	3751.23	3754.66	1154	0	5
2025.09.23	09:15:00	3754.64	3757.39	3753.54	3756.53	1055	0	12
2025.09.23	09:30:00	3756.57	3756.90	3752.06	3753.07	1066	0	14
2025.09.23	09:45:00	3753.17	3756.67	3752.97	3753.91	985	0	5
2025.09.23	10:00:00	3753.79	3753.95	3749.06	3752.90	1114	0	6
2025.09.23	10:15:00	3751.99	3755.47	3750.92	3754.81	989	0	13
2025.09.23	10:30:00	3755.42	3757.40	3753.12	3754.33	1077	0	7
2025.09.23	10:45:00	3754.34	3755.79	3752.01	3753.41	1016	0	8
2025.09.23	11:00:00	3753.21	3755.70	3753.07	3754.99	929	0	13
2025.09.23	11:15:00	3755.01	3759.62	3754.96	3759.32	999	0	6
2025.09.23	11:30:00	3759.23	3770.23	3759.18	3770.16	1164	0	5
2025.09.23	11:45:00	3770.09	3775.19	3769.33	3774.31	1190	0	11
2025.09.23	12:00:00	3774.24	3785.36	3774.24	3784.30	1175	0	5
2025.09.23	12:15:00	3784.28	3791.18	3782.22	3787.03	1211	0	5
2025.09.23	12:30:00	3787.00	3787.56	3778.24	3778.57	1182	0	5
2025.09.23	12:45:00	3778.23	3786.46	3778.23	3784.83	1126	0	5
2025.09.23	13:00:00	3784.82	3786.39	3782.65	3786.10	998	0	5
2025.09.23	13:15:00	3786.07	3787.78	3781.69	3782.61	1071	0	14
2025.09.23	13:30:00	3782.79	3785.23	3782.79	3783.20	971	0	5
2025.09.23	13:45:00	3783.33	3784.03	3780.88	3782.97	887	0	6
2025.09.23	14:00:00	3783.05	3784.10	3779.76	3780.33	1007	0	5
2025.09.23	14:15:00	3780.30	3788.62	3780.09	3788.07	1063	0	6
2025.09.23	14:30:00	3788.29	3788.51	3782.31	3783.13	1033	0	5
2025.09.23	14:45:00	3783.15	3784.60	3780.56	3783.43	1088	0	5
2025.09.23	15:00:00	3783.69	3783.69	3777.63	3779.43	1132	0	6
2025.09.23	15:15:00	3779.37	3784.79	3777.36	3781.32	1174	0	6
2025.09.23	15:30:00	3781.39	3784.63	3779.41	3784.36	1083	0	5
2025.09.23	15:45:00	3784.36	3785.38	3783.77	3784.29	959	0	5
2025.09.23	16:00:00	3784.24	3787.94	3782.83	3786.89	1179	0	5
2025.09.23	16:15:00	3787.06	3787.78	3781.16	3783.53	1168	0	13
2025.09.23	16:30:00	3783.77	3788.85	3780.74	3784.71	1261	0	6
2025.09.23	16:45:00	3784.93	3786.27	3774.41	3783.86	1332	0	8
2025.09.23	17:00:00	3784.11	3784.85	3774.06	3776.97	1304	0	9
2025.09.23	17:15:00	3777.08	3778.08	3767.74	3770.97	1323	0	5
2025.09.23	17:30:00	3771.10	3775.48	3770.80	3773.26	1237	0	5
2025.09.23	17:45:00	3772.96	3775.24	3771.11	3774.02	1166	0	6
2025.09.23	18:00:00	3774.03	3779.61	3772.80	3779.06	1169	0	5
2025.09.23	18:15:00	3779.05	3780.49	3777.55	3780.05	1118	0	5
2025.09.23	18:30:00	3780.31	3781.98	3778.79	3779.16	1041	0	5
2025.09.23	18:45:00	3779.19	3779.64	3775.34	3779.35	1068	0	5
2025.09.23	19:00:00	3779.52	3779.98	3773.73	3774.30	1021	0	5
2025.09.23	19:15:00	3774.30	3780.07	3773.63	3775.34	1045	0	5
2025.09.23	19:30:00	3775.27	3777.91	3765.16	3773.75	1257	0	5
2025.09.23	19:45:00	3773.72	3781.88	3773.64	3779.16	1254	0	5
2025.09.23	20:00:00	3779.24	3781.77	3779.07	3781.19	1038	0	8
2025.09.23	20:15:00	3781.50	3785.61	3779.93	3782.13	1085	0	8
