TP,SL_mult,ATR_min,VWAP_tol,T_stop,num_trades,win_rate,expectancy,profit_factor
2,1.0,0.0,0.003,10,1550,0.457,-0.17,0.84
2,1.0,0.0,0.005,10,1927,0.437,-0.252,0.78
2,1.0,0.3,0.003,10,1550,0.457,-0.17,0.84
2,1.0,0.3,0.005,10,1927,0.437,-0.252,0.78
2,1.2,0.0,0.003,10,1550,0.505,-0.18,0.85
2,1.2,0.0,0.005,10,1927,0.488,-0.253,0.79
2,1.2,0.3,0.003,10,1550,0.505,-0.18,0.85
2,1.2,0.3,0.005,10,1927,0.488,-0.253,0.79
3,1.0,0.0,0.003,10,1550,0.516,0.098,1.07
3,1.0,0.0,0.005,10,1927,0.5,0.002,1.0
3,1.0,0.3,0.003,10,1550,0.516,0.098,1.07
3,1.0,0.3,0.005,10,1927,0.5,0.002,1.0
3,1.2,0.0,0.003,10,1550,0.56,0.1,1.07
3,1.2,0.0,0.005,10,1927,0.544,-0.003,1.0
3,1.2,0.3,0.003,10,1550,0.56,0.1,1.07
3,1.2,0.3,0.005,10,1927,0.544,-0.003,1.0
4,1.0,0.0,0.003,10,1550,0.527,0.188,1.1
4,1.0,0.0,0.005,10,1927,0.516,0.106,1.06
4,1.0,0.3,0.003,10,1550,0.527,0.188,1.1
4,1.0,0.3,0.005,10,1927,0.516,0.106,1.06
4,1.2,0.0,0.003,10,1550,0.565,0.183,1.1
4,1.2,0.0,0.005,10,1927,0.556,0.114,1.06
4,1.2,0.3,0.003,10,1550,0.565,0.183,1.1
4,1.2,0.3,0.005,10,1927,0.556,0.114,1.06
