TP,SL_mult,ATR_min,VWAP_tol,T_stop,num_trades,win_rate,expectancy,profit_factor
2,1.0,0.0,0.003,10,693,0.468,-0.127,0.88
2,1.0,0.0,0.005,10,938,0.467,-0.128,0.88
2,1.0,0.3,0.003,10,693,0.468,-0.127,0.88
2,1.0,0.3,0.005,10,938,0.467,-0.128,0.88
2,1.2,0.0,0.003,10,693,0.505,-0.136,0.88
2,1.2,0.0,0.005,10,938,0.498,-0.16,0.86
2,1.2,0.3,0.003,10,693,0.505,-0.136,0.88
2,1.2,0.3,0.005,10,938,0.498,-0.16,0.86
3,1.0,0.0,0.003,10,693,0.486,-0.104,0.92
3,1.0,0.0,0.005,10,938,0.481,-0.109,0.92
3,1.0,0.3,0.003,10,693,0.486,-0.104,0.92
3,1.0,0.3,0.005,10,938,0.481,-0.109,0.92
3,1.2,0.0,0.003,10,693,0.517,-0.096,0.93
3,1.2,0.0,0.005,10,938,0.515,-0.065,0.96
3,1.2,0.3,0.003,10,693,0.517,-0.096,0.93
3,1.2,0.3,0.005,10,938,0.515,-0.065,0.96
4,1.0,0.0,0.003,10,693,0.491,-0.095,0.94
4,1.0,0.0,0.005,10,938,0.488,-0.085,0.95
4,1.0,0.3,0.003,10,693,0.491,-0.095,0.94
4,1.0,0.3,0.005,10,938,0.488,-0.085,0.95
4,1.2,0.0,0.003,10,693,0.506,-0.048,0.97
4,1.2,0.0,0.005,10,938,0.507,-0.018,0.99
4,1.2,0.3,0.003,10,693,0.506,-0.048,0.97
4,1.2,0.3,0.005,10,938,0.507,-0.018,0.99
