time,symbol,type,price,sl,tp
2025-09-22 20:14:34,EURUSD,sell,1.17936,1.17951,1.17906
2025-09-22 20:15:36,EURUSD,sell,1.17939,1.17954,1.17909
2025-09-22 20:15:46,GBPUSD,sell,1.35168,1.35183,1.35138
2025-09-22 20:16:37,EURUSD,sell,1.17932,1.17947,1.17902
2025-09-22 20:16:48,GBPUSD,sell,1.35163,1.3517800000000002,1.3513300000000001
2025-09-22 20:17:38,EURUSD,sell,1.17929,1.17944,1.17899
2025-09-22 20:17:48,GBPUSD,sell,1.35165,1.3518000000000001,1.35135
2025-09-22 20:18:39,EURUSD,sell,1.17927,1.1794200000000001,1.17897
2025-09-22 20:18:49,GBPUSD,sell,1.35165,1.3518000000000001,1.35135
2025-09-22 20:19:40,EURUSD,sell,1.17938,1.1795300000000002,1.1790800000000001
2025-09-22 20:20:40,EURUSD,sell,1.17939,1.17954,1.17909
2025-09-22 20:20:51,GBPUSD,sell,1.35168,1.35183,1.35138
2025-09-22 20:21:41,EURUSD,sell,1.17931,1.1794600000000002,1.1790100000000001
2025-09-22 20:21:51,GBPUSD,sell,1.35157,1.35172,1.35127
2025-09-22 20:23:42,EURUSD,sell,1.17939,1.17954,1.17909
2025-09-22 20:24:43,EURUSD,buy,1.17945,1.1793,1.17975
2025-09-22 20:25:08,GBPUSD,sell,1.3516599999999999,1.35181,1.35136
2025-09-22 20:25:43,EURUSD,buy,1.17946,1.1793099999999999,1.17976
2025-09-22 20:26:44,EURUSD,sell,1.17938,1.1795300000000002,1.1790800000000001
2025-09-22 20:27:04,GBPUSD,sell,1.3516599999999999,1.35181,1.35136
2025-09-22 20:27:45,EURUSD,sell,1.17931,1.1794600000000002,1.1790100000000001
2025-09-22 20:28:05,GBPUSD,sell,1.3516599999999999,1.35181,1.35136
2025-09-22 20:28:45,EURUSD,sell,1.17932,1.17947,1.17902
2025-09-22 20:29:26,GBPUSD,sell,1.35169,1.3518400000000002,1.35139
2025-09-22 20:30:27,GBPUSD,buy,1.35178,1.3516299999999999,1.35208
2025-09-22 20:30:47,EURUSD,sell,1.17942,1.17957,1.17912
2025-09-22 20:31:47,EURUSD,sell,1.17956,1.17971,1.17926
2025-09-22 20:32:48,EURUSD,sell,1.17957,1.17972,1.17927
2025-09-22 20:33:08,GBPUSD,buy,1.3518,1.3516499999999998,1.3520999999999999
2025-09-22 20:33:49,EURUSD,sell,1.17945,1.1796000000000002,1.1791500000000001
2025-09-22 20:34:14,GBPUSD,buy,1.3518,1.3516499999999998,1.3520999999999999
2025-09-22 20:34:50,EURUSD,sell,1.17935,1.1795,1.17905
2025-09-22 20:35:15,GBPUSD,buy,1.35179,1.35164,1.35209
2025-09-22 20:35:50,EURUSD,sell,1.17948,1.1796300000000002,1.1791800000000001
2025-09-22 20:36:51,EURUSD,sell,1.17945,1.1796000000000002,1.1791500000000001
2025-09-22 20:37:52,EURUSD,sell,1.17946,1.17961,1.17916
2025-09-22 20:38:42,GBPUSD,buy,1.3517700000000001,1.35162,1.35207
2025-09-22 20:44:54,EURUSD,sell,1.17926,1.17941,1.17896
2025-09-22 20:44:59,GBPUSD,sell,1.35158,1.35173,1.35128
2025-09-22 20:45:55,EURUSD,buy,1.17926,1.1791099999999999,1.17956
2025-09-22 20:46:00,GBPUSD,sell,1.35158,1.35173,1.35128
2025-09-22 20:46:56,EURUSD,buy,1.17925,1.1790999999999998,1.1795499999999999
2025-09-22 20:47:01,GBPUSD,sell,1.35149,1.3516400000000002,1.3511900000000001
2025-09-22 20:47:56,EURUSD,buy,1.17934,1.17919,1.17964
2025-09-22 20:48:02,GBPUSD,sell,1.3516,1.35175,1.3513
2025-09-22 20:48:57,EURUSD,buy,1.17948,1.17933,1.17978
2025-09-22 20:49:02,GBPUSD,buy,1.3516599999999999,1.3515099999999998,1.3519599999999998
2025-09-22 20:52:21,EURUSD,buy,1.17935,1.1791999999999998,1.1796499999999999
2025-09-22 20:53:04,GBPUSD,sell,1.35148,1.35163,1.35118
2025-09-22 20:53:24,EURUSD,buy,1.17945,1.1793,1.17975
2025-09-22 20:54:14,GBPUSD,sell,1.35148,1.35163,1.35118
2025-09-22 20:54:25,EURUSD,buy,1.17938,1.17923,1.17968
2025-09-22 20:55:15,GBPUSD,sell,1.35152,1.3516700000000001,1.35122
2025-09-22 20:55:25,EURUSD,buy,1.17945,1.1793,1.17975
2025-09-22 20:56:16,GBPUSD,sell,1.35159,1.3517400000000002,1.35129
2025-09-22 20:56:41,EURUSD,buy,1.17963,1.1794799999999999,1.17993
2025-09-22 20:57:17,GBPUSD,sell,1.35159,1.3517400000000002,1.35129
2025-09-22 20:58:17,GBPUSD,buy,1.35167,1.3515199999999998,1.35197
2025-09-22 20:59:18,GBPUSD,buy,1.3517299999999999,1.3515799999999998,1.3520299999999998
2025-09-22 21:00:18,GBPUSD,sell,1.35165,1.3518000000000001,1.35135
2025-09-22 21:01:19,GBPUSD,sell,1.35162,1.3517700000000001,1.35132
2025-09-22 21:01:35,EURUSD,sell,1.17963,1.17978,1.17933
2025-09-22 21:02:20,GBPUSD,sell,1.35153,1.35168,1.35123
2025-09-22 21:02:35,EURUSD,sell,1.17954,1.1796900000000001,1.17924
2025-09-22 21:03:21,GBPUSD,sell,1.35164,1.35179,1.35134
2025-09-22 21:03:36,EURUSD,sell,1.17958,1.1797300000000002,1.17928
2025-09-22 21:04:22,GBPUSD,sell,1.35156,1.3517100000000002,1.3512600000000001
2025-09-22 21:05:22,GBPUSD,buy,1.35171,1.3515599999999999,1.35201
2025-09-22 21:05:23,EURUSD,sell,1.17962,1.17977,1.17932
2025-09-22 21:06:23,GBPUSD,sell,1.35164,1.35179,1.35134
2025-09-22 21:07:24,GBPUSD,sell,1.3516,1.35175,1.3513
2025-09-22 21:07:34,EURUSD,sell,1.17962,1.17977,1.17932
2025-09-22 21:08:24,GBPUSD,sell,1.35156,1.3517100000000002,1.3512600000000001
2025-09-22 21:09:25,GBPUSD,sell,1.35159,1.3517400000000002,1.35129
2025-09-22 21:10:10,EURUSD,sell,1.17963,1.17978,1.17933
2025-09-22 21:10:26,GBPUSD,sell,1.3514599999999999,1.35161,1.35116
2025-09-22 21:11:26,GBPUSD,sell,1.35159,1.3517400000000002,1.35129
2025-09-22 21:16:05,GBPUSD,buy,1.35163,1.35148,1.35193
2025-09-22 21:16:05,EURUSD,buy,1.17966,1.1795099999999998,1.17996
2025-09-22 21:17:06,GBPUSD,buy,1.35163,1.35148,1.35193
2025-09-22 21:17:36,EURUSD,buy,1.17973,1.1795799999999999,1.18003
2025-09-22 21:18:37,EURUSD,buy,1.17966,1.1795099999999998,1.17996
2025-09-22 21:28:11,GBPUSD,buy,1.35165,1.3515,1.35195
2025-09-22 21:28:12,EURUSD,sell,1.17994,1.18009,1.17964
2025-09-22 21:29:12,GBPUSD,buy,1.35163,1.35148,1.35193
2025-09-22 21:30:09,EURUSD,sell,1.17987,1.18002,1.17957
2025-09-22 21:30:14,GBPUSD,buy,1.3516599999999999,1.3515099999999998,1.3519599999999998
2025-09-22 21:31:15,GBPUSD,sell,1.3516,1.35175,1.3513
2025-09-22 21:31:20,EURUSD,sell,1.17987,1.18002,1.17957
2025-09-22 21:32:16,GBPUSD,buy,1.35171,1.3515599999999999,1.35201
2025-09-22 21:32:21,EURUSD,sell,1.17987,1.18002,1.17957
2025-09-22 21:33:16,GBPUSD,buy,1.3517299999999999,1.3515799999999998,1.3520299999999998
2025-09-22 21:41:21,GBPUSD,buy,1.3516599999999999,1.3515099999999998,1.3519599999999998
2025-09-22 21:45:22,GBPUSD,buy,1.35162,1.35147,1.35192
2025-09-22 22:20:42,XAUUSD,buy,3746.85,3746.7,3747.15
2025-09-22 22:21:44,XAUUSD,buy,3746.9,3746.75,3747.2000000000003
2025-09-22 22:22:45,XAUUSD,buy,3746.84,3746.69,3747.1400000000003
2025-09-23 16:54:34,XAUUSD,buy,3774.13,3773.98,3774.4300000000003
2025-09-23 16:54:34,GBPUSD,sell,1.35174,1.35189,1.35144
2025-09-23 16:54:34,EURUSD,sell,1.17967,1.17982,1.17937
2025-09-23 16:55:35,GBPUSD,sell,1.35178,1.35193,1.35148
2025-09-23 16:55:35,EURUSD,sell,1.17962,1.17977,1.17932
2025-09-23 16:56:36,XAUUSD,buy,3773.59,3773.44,3773.8900000000003
2025-09-23 16:56:36,GBPUSD,sell,1.35176,1.3519100000000002,1.35146
2025-09-23 16:56:36,EURUSD,sell,1.17963,1.17978,1.17933
2025-09-23 16:57:37,GBPUSD,buy,1.35239,1.3522399999999999,1.35269
2025-09-23 16:57:37,EURUSD,sell,1.17969,1.17984,1.17939
2025-09-23 16:58:38,XAUUSD,sell,3773.2,3773.35,3772.8999999999996
2025-09-23 16:58:38,GBPUSD,buy,1.35243,1.35228,1.35273
2025-09-23 16:58:38,EURUSD,sell,1.17956,1.17971,1.17926
2025-09-23 16:59:39,XAUUSD,buy,3774.08,3773.93,3774.38
2025-09-23 16:59:39,EURUSD,sell,1.17953,1.17968,1.17923
