time,symbol,signal,fvg_zone,liquidity_grab,order_block
2025-09-19 21:28:12,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:17,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:22,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:27,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:32,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:37,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:42,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:47,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:52,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:57,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:02,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:07,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:12,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
