bos_time,bos_type,order_block_price,entry_time_1m,entry_type
2025-09-15,bearish,1.36056,2025-09-15,sell
2025-09-15,bearish,1.36099,2025-09-15,sell
2025-09-15,bearish,1.3615,2025-09-15,sell
2025-09-15,bearish,1.3615,2025-09-15,sell
2025-09-15,bearish,1.36158,2025-09-15,sell
2025-09-15,bearish,1.36154,2025-09-15,sell
2025-09-15,bearish,1.36154,2025-09-15,sell
2025-09-15,bearish,1.3614,2025-09-15,sell
2025-09-15,bearish,1.36125,2025-09-15,sell
2025-09-15,bearish,1.36082,2025-09-15,sell
2025-09-15,bearish,1.36082,2025-09-15,sell
2025-09-15,bearish,1.36082,2025-09-15,sell
2025-09-15,bearish,1.35967,2025-09-15,sell
2025-09-15,bullish,1.35949,2025-09-15,buy
2025-09-15,bearish,1.36098,2025-09-15,sell
2025-09-15,bearish,1.36098,2025-09-15,sell
2025-09-15,bullish,1.3594,2025-09-15,buy
2025-09-15,bearish,1.35997,2025-09-15,sell
2025-09-15,bearish,1.35997,2025-09-15,sell
2025-09-15,bullish,1.36002,2025-09-15,buy
2025-09-15,bearish,1.36079,2025-09-15,sell
2025-09-15,bearish,1.36079,2025-09-15,sell
2025-09-15,bearish,1.36079,2025-09-15,sell
2025-09-15,bearish,1.36077,2025-09-15,sell
2025-09-15,bearish,1.36076,2025-09-15,sell
2025-09-15,bearish,1.36062,2025-09-15,sell
2025-09-15,bearish,1.36055,2025-09-15,sell
2025-09-15,bearish,1.36065,2025-09-15,sell
2025-09-15,bearish,1.36087,2025-09-15,sell
2025-09-15,bearish,1.36087,2025-09-15,sell
2025-09-15,bearish,1.36087,2025-09-15,sell
2025-09-15,bearish,1.36047,2025-09-15,sell
2025-09-15,bearish,1.35989,2025-09-15,sell
2025-09-15,bearish,1.36,2025-09-15,sell
2025-09-15,bearish,1.36,2025-09-15,sell
2025-09-15,bearish,1.36022,2025-09-15,sell
2025-09-15,bearish,1.3607,2025-09-15,sell
2025-09-15,bearish,1.3607,2025-09-15,sell
2025-09-15,bearish,1.3607,2025-09-15,sell
2025-09-15,bullish,1.3586,2025-09-15,buy
2025-09-15,bearish,1.35878,2025-09-15,sell
2025-09-15,bearish,1.35961,2025-09-15,sell
2025-09-15,bearish,1.35961,2025-09-15,sell
2025-09-15,bearish,1.35961,2025-09-15,sell
2025-09-15,bearish,1.35589,2025-09-15,sell
2025-09-15,bearish,1.35589,2025-09-15,sell
2025-09-15,bearish,1.3557,2025-09-15,sell
2025-09-15,bearish,1.3557,2025-09-15,sell
2025-09-15,bearish,1.35553,2025-09-15,sell
2025-09-15,bearish,1.35553,2025-09-15,sell
2025-09-15,bearish,1.35538,2025-09-15,sell
2025-09-15,bearish,1.35538,2025-09-15,sell
2025-09-15,bearish,1.35538,2025-09-15,sell
2025-09-15,bearish,1.35546,2025-09-15,sell
2025-09-15,bearish,1.35566,2025-09-15,sell
2025-09-15,bearish,1.35597,2025-09-15,sell
2025-09-15,bearish,1.35597,2025-09-15,sell
2025-09-15,bearish,1.35597,2025-09-15,sell
2025-09-15,bullish,1.35578,2025-09-15,buy
2025-09-15,bearish,1.35811,2025-09-15,sell
2025-09-15,bearish,1.35811,2025-09-15,sell
2025-09-15,bearish,1.35811,2025-09-15,sell
2025-09-15,bullish,1.35437,2025-09-15,buy
2025-09-15,bearish,1.35881,2025-09-15,sell
2025-09-15,bearish,1.35881,2025-09-15,sell
2025-09-15,bearish,1.35828,2025-09-15,sell
2025-09-15,bearish,1.35828,2025-09-15,sell
2025-09-15,bearish,1.35816,2025-09-15,sell
2025-09-15,bearish,1.35771,2025-09-15,sell
2025-09-15,bearish,1.35627,2025-09-15,sell
2025-09-15,bearish,1.35645,2025-09-15,sell
2025-09-15,bearish,1.35645,2025-09-15,sell
2025-09-15,bullish,1.35648,2025-09-15,buy
2025-09-15,bearish,1.35674,2025-09-15,sell
2025-09-15,bearish,1.35674,2025-09-15,sell
2025-09-15,bearish,1.3569,2025-09-15,sell
2025-09-15,bearish,1.3569,2025-09-15,sell
2025-09-15,bearish,1.3569,2025-09-15,sell
2025-09-15,bearish,1.35659,2025-09-15,sell
2025-09-15,bearish,1.35658,2025-09-15,sell
2025-09-15,bearish,1.35658,2025-09-15,sell
2025-09-16,bearish,1.36403,2025-09-16,sell
2025-09-16,bullish,1.36411,2025-09-16,buy
2025-09-16,bearish,1.36433,2025-09-16,sell
2025-09-16,bullish,1.3642,2025-09-16,buy
2025-09-16,bullish,1.3642,2025-09-16,buy
